pressurec2,energy_densityc2,baryon_density,cs2c2
1.123601971415998474e-13,7.757621265532460342e+00,6.690487711526220238e+00,1.694599786401313616e-11
1.123601947546393576e-12,7.817295635759561989e+00,7.911501883089411713e+00,1.592937417249971638e-10
1.123601947546393697e-11,7.857078290656912323e+00,7.961680189549807274e+00,2.752282478616582939e-10
1.123602009209539550e-10,8.105719630150792554e+00,8.212573846081630435e+00,4.035215002808517863e-10
1.346106455596051920e-09,1.153697608654582041e+01,1.169162734702031514e+01,1.455584930405456942e-09
1.557471780889604116e-08,1.631089712086220800e+01,1.655895697772512420e+01,3.424597645509415971e-09
1.891228634464243720e-07,4.485496701772422767e+01,4.549531615737780754e+01,1.074391063776180222e-08
6.474630401424069878e-06,2.108481743909045178e+02,2.124229843098999879e+02,6.532182291655494694e-08
2.113653630870935738e-04,1.143751910120404318e+03,1.159127024903916436e+03,3.049818810191244846e-07
1.083998316674727319e-02,1.038327851767391439e+04,1.052915519367991146e+04,1.773075043230474287e-06
5.526808095018265199e-02,2.607754312507059876e+04,2.644415110833727158e+04,3.578326781085788937e-06
2.704426112786880720e-01,6.551211791804905079e+04,6.643654548555907968e+04,6.808793692366251458e-06
1.280465054129521496e+00,1.645013618425254826e+05,1.668607612684278574e+05,1.253520452162470761e-05
5.858396570033942652e+00,4.133419990109872306e+05,4.191590758233050583e+05,2.223850786322356166e-05
2.578712920128643660e+01,1.038327768223774154e+06,1.052748200306475628e+06,3.781943373605088502e-05
1.085231603462781464e+02,2.607754392072409391e+06,2.644415261369700078e+06,6.127691686715209380e-05
4.350832347612719104e+02,6.552206657044683583e+06,6.643654381293714978e+06,8.674524347765440332e-05
5.850638948450149428e+02,8.247943010781746358e+06,8.363109568321341649e+06,9.438602265298483523e-05
1.596419099073077859e+03,1.646008091805686243e+07,1.668607560832999088e+07,1.364117867742375219e-04
4.264105977334020281e+03,3.284059803806066886e+07,3.328517611436780915e+07,1.792305641290433955e-04
1.119166173340053683e+04,6.553201283588412404e+07,6.643654230757742375e+07,2.321137186131741665e-04
2.896974318438135379e+04,1.307855487384678274e+08,1.325385662518537641e+08,2.976585940306612646e-04
7.427027238038476207e+04,2.609743366681144536e+08,2.644415161012384295e+08,3.421794397367371675e-04
9.720896505050185078e+04,3.286049056893525720e+08,3.328517611436780691e+08,3.646363349236532610e-04
1.812240062062492070e+05,5.208546418230050206e+08,5.277121985285088420e+08,4.656766006477885511e-04
3.369791567432372831e+05,8.255899466174132824e+08,8.363109601773780584e+08,5.472218524371975142e-04
4.593506425127657130e+05,1.039322354984828830e+09,1.052748248812511444e+09,4.848746393024503808e-04
5.602395216899445513e+05,1.308849976678179502e+09,1.325385590595795155e+09,4.735248382733432248e-04
7.631709636892378330e+05,1.647997285219132662e+09,1.668607555815133095e+09,6.186802234035644523e-04
1.415069770081449533e+06,2.611732679442615986e+09,2.644415244643480778e+09,7.197182152251633712e-04
2.621081448887257371e+06,4.141376266480222702e+09,4.191590708054392338e+09,8.396141059288445008e-04
4.852690571267287247e+06,6.565136105916356087e+09,6.643653996590672493e+09,8.790519119582404202e-04
6.298790919184063561e+06,8.266839801197708130e+09,8.363109401059149742e+09,9.440526233534239121e-04
8.568392197617227212e+06,1.040316943735016823e+10,1.052748210342207336e+10,1.097702416479095448e-03
1.165890990520779602e+07,1.310839154178556061e+10,1.325385590595794868e+10,1.184212410993380846e-03
1.585279999860589392e+07,1.649986484599980354e+10,1.668607631083120155e+10,1.278500343304519483e-03
2.156022020390187576e+07,2.078644757708867264e+10,2.100813136167200089e+10,1.259072011749381818e-03
2.784588301942770928e+07,2.616705394443176651e+10,2.644415127559946060e+10,1.305118397950897355e-03
3.786912872809076309e+07,3.295000039372955704e+10,3.328517728520315552e+10,1.529051216098813778e-03
5.148474977125881612e+07,4.149332960568660736e+10,4.191590641149515533e+10,1.492851048207070180e-03
6.618245718171866238e+07,5.225454234037279510e+10,5.277122185999719238e+10,1.538535256196174247e-03
8.998840878070177138e+07,6.581049255397180176e+10,6.643653996590673065e+10,1.819242055465440395e-03
1.223734900206842571e+08,8.286731496636125183e+10,8.363109401059149170e+10,1.964504424704077191e-03
1.663154488291889727e+08,1.043300680148575897e+11,1.052748272229218445e+11,2.116624429636984953e-03
2.261645081628162563e+08,1.314817403755221100e+11,1.325385652482806396e+11,2.044790885078676037e-03
2.889216875876378417e+08,1.654959267231089172e+11,1.668607631083119812e+11,1.836638191802400597e-03
3.217224830595724583e+08,1.833981248084433289e+11,1.848247175509842224e+11,1.804906810946130345e-03
3.660006000993803740e+08,2.084612198709844971e+11,2.100813069262322998e+11,1.977527704552989058e-03
4.976215796377495527e+08,2.625656476379294128e+11,2.644415194464823303e+11,2.326608412321082633e-03
6.470254167957953215e+08,3.306934921374911499e+11,3.328517661615438843e+11,2.230647189868527683e-03
8.682966340791319609e+08,4.275643092262100830e+11,4.301983721566153564e+11,8.303751466565976232e-04
8.777450312762473822e+08,4.435768258829877319e+11,4.465900469374122925e+11,6.044221997202552750e-04
9.291442948424401283e+08,5.199595674446669922e+11,5.228616033128884277e+11,6.482143869714643509e-04
1.012130876875424385e+09,6.574087028721774902e+11,6.608529404527111816e+11,6.046973084586338126e-04
1.093685433790179729e+09,7.920730570318811035e+11,7.960007500721230469e+11,6.177001081289809192e-04
1.204818286084032059e+09,9.675146170455809326e+11,9.721278653996839600e+11,6.524623856285253435e-04
1.354997873465654612e+09,1.189501948333852539e+12,1.194753883587079834e+12,7.032673619676236675e-04
1.556357931636934519e+09,1.463007883256148193e+12,1.469565615472332520e+12,7.827558652054460208e-04
1.033735845029755211e+10,6.705887328666752930e+12,6.690487711526218750e+12,1.622111508712453321e-03
